,open_time,o,h,l,c,v,close_time
2021-10-05 16:00:00,1633438800000,50000.00000000,50320.00000000,49772.63000000,50207.96000000,2108.42441000,1633442399999
2021-10-05 17:00:00,1633442400000,50207.96000000,50388.00000000,49575.94000000,49841.79000000,3331.24836000,1633445999999
2021-10-05 18:00:00,1633446000000,49841.78000000,50205.21000000,49700.00000000,49793.57000000,2394.23691000,1633449599999
2021-10-05 19:00:00,1633449600000,49793.57000000,50115.24000000,49640.36000000,50103.85000000,1616.06606000,1633453199999
2021-10-05 20:00:00,1633453200000,50103.86000000,50200.00000000,49950.00000000,50146.52000000,1496.73634000,1633456799999
2021-10-05 21:00:00,1633456800000,50146.51000000,50777.00000000,50140.01000000,50612.44000000,3172.36075000,1633460399999
2021-10-05 22:00:00,1633460400000,50612.45000000,51388.00000000,50557.89000000,51190.11000000,4096.42422000,1633463999999
2021-10-05 23:00:00,1633464000000,51190.11000000,51773.76000000,51104.47000000,51462.29000000,3445.45109000,1633467599999
2021-10-06 00:00:00,1633467600000,51461.16000000,51886.30000000,51299.06000000,51718.61000000,2892.91766000,1633471199999
2021-10-06 01:00:00,1633471200000,51718.61000000,51775.42000000,51318.24000000,51349.86000000,1929.75660000,1633474799999
2021-10-06 02:00:00,1633474800000,51349.85000000,51620.37000000,51343.06000000,51471.99000000,1331.88782000,1633478399999
2021-10-06 03:00:00,1633478400000,51471.99000000,51539.30000000,51201.05000000,51321.61000000,1874.26782000,1633481999999
2021-10-06 04:00:00,1633482000000,51322.98000000,51330.96000000,50917.73000000,51278.38000000,1731.78906000,1633485599999
2021-10-06 05:00:00,1633485600000,51277.30000000,51591.82000000,51152.00000000,51545.56000000,1546.24844000,1633489199999
2021-10-06 06:00:00,1633489200000,51545.56000000,51600.00000000,51295.32000000,51513.81000000,1716.30688000,1633492799999
2021-10-06 07:00:00,1633492800000,51512.13000000,51593.52000000,51236.70000000,51325.83000000,1788.57297000,1633496399999
2021-10-06 08:00:00,1633496400000,51325.82000000,51828.00000000,51200.56000000,51512.37000000,3845.98164000,1633499999999
2021-10-06 09:00:00,1633500000000,51516.11000000,51736.11000000,51450.85000000,51509.98000000,1795.94549000,1633503599999
2021-10-06 10:00:00,1633503600000,51509.97000000,51575.10000000,51088.00000000,51449.99000000,2514.70815000,1633507199999
2021-10-06 11:00:00,1633507200000,51450.00000000,51500.00000000,50420.00000000,50693.51000000,4693.98921000,1633510799999
2021-10-06 12:00:00,1633510800000,50695.74000000,50822.00000000,50382.41000000,50700.00000000,3309.28438000,1633514399999
2021-10-06 13:00:00,1633514400000,50700.00000000,51478.00000000,50619.10000000,51160.35000000,3675.56641000,1633517999999
2021-10-06 14:00:00,1633518000000,51160.35000000,51490.00000000,51091.30000000,51306.56000000,2864.51572000,1633521599999
2021-10-06 15:00:00,1633521600000,51306.57000000,52829.00000000,51259.84000000,52741.68000000,7188.98039000,1633525199999
2021-10-06 16:00:00,1633525200000,52741.68000000,55555.00000000,52610.20000000,53997.00000000,13067.38205700,1633528799999
2021-10-06 17:00:00,1633528800000,53996.99000000,54550.00000000,53750.00000000,54500.40000000,4630.42480000,1633532399999
2021-10-06 18:00:00,1633532400000,54500.40000000,55156.97000000,54250.04000000,54984.19000000,4393.70176000,1633535999999
2021-10-06 19:00:00,1633536000000,54984.20000000,55054.87000000,54446.54000000,54891.32000000,3430.49862000,1633539599999
2021-10-06 20:00:00,1633539600000,54891.32000000,54917.90000000,54517.01000000,54581.22000000,2185.69496000,1633543199999
2021-10-06 21:00:00,1633543200000,54582.09000000,55109.67000000,54446.54000000,54527.82000000,2983.47234000,1633546799999
2021-10-06 22:00:00,1633546800000,54527.82000000,55078.01000000,54483.85000000,55049.99000000,2056.35874000,1633550399999
2021-10-06 23:00:00,1633550400000,55049.99000000,55386.86000000,54812.00000000,54918.24000000,2562.02201000,1633553999999
2021-10-07 00:00:00,1633554000000,54918.24000000,55273.83000000,54880.05000000,55075.37000000,1617.26588000,1633557599999
2021-10-07 01:00:00,1633557600000,55075.38000000,55280.00000000,54893.02000000,55144.72000000,1516.95819000,1633561199999
2021-10-07 02:00:00,1633561200000,55144.72000000,55750.00000000,55119.08000000,55315.00000000,2887.60926400,1633564799999
2021-10-07 03:00:00,1633564800000,55315.00000000,55332.31000000,54500.00000000,54794.88000000,3291.49488000,1633568399999
2021-10-07 04:00:00,1633568400000,54794.88000000,54909.19000000,54112.00000000,54787.30000000,2806.59176000,1633571999999
2021-10-07 05:00:00,1633572000000,54787.30000000,55230.60000000,54680.92000000,55075.56000000,1938.38290000,1633575599999
2021-10-07 06:00:00,1633575600000,55075.57000000,55215.67000000,54730.86000000,54810.94000000,1540.73481000,1633579199999
2021-10-07 07:00:00,1633579200000,54810.93000000,55237.04000000,54756.06000000,55073.20000000,1450.00390000,1633582799999
2021-10-07 08:00:00,1633582800000,55073.20000000,55073.21000000,54545.07000000,54735.76000000,2251.12202000,1633586399999
2021-10-07 09:00:00,1633586400000,54735.77000000,54968.06000000,54375.83000000,54534.16000000,1783.00426000,1633589999999
2021-10-07 10:00:00,1633590000000,54534.16000000,54793.26000000,54235.33000000,54755.92000000,4163.43136000,1633593599999
2021-10-07 11:00:00,1633593600000,54755.91000000,54778.91000000,54400.00000000,54538.30000000,2049.38218000,1633597199999
2021-10-07 12:00:00,1633597200000,54538.31000000,54547.30000000,53786.13000000,54300.57000000,4189.35726000,1633600799999
2021-10-07 13:00:00,1633600800000,54300.57000000,54432.49000000,53811.00000000,53906.62000000,2498.88588000,1633604399999
2021-10-07 14:00:00,1633604400000,53906.62000000,54365.30000000,53884.44000000,54305.54000000,1960.06258000,1633607999999
2021-10-07 15:00:00,1633608000000,54305.53000000,54361.99000000,53630.01000000,53983.13000000,2642.04120000,1633611599999
2021-10-07 16:00:00,1633611600000,53983.12000000,54700.00000000,53782.44000000,54567.84000000,2557.02458000,1633615199999
2021-10-07 17:00:00,1633615200000,54567.83000000,54685.98000000,53357.00000000,53789.59000000,4577.48236000,1633618799999
2021-10-07 18:00:00,1633618800000,53789.59000000,54220.29000000,53659.11000000,53899.99000000,2284.16660000,1633622399999
2021-10-07 19:00:00,1633622400000,53902.39000000,54330.00000000,53400.00000000,54154.72000000,3419.33665000,1633625999999
2021-10-07 20:00:00,1633626000000,54154.71000000,54324.88000000,54015.72000000,54165.51000000,1732.51096000,1633629599999
2021-10-07 21:00:00,1633629600000,54165.51000000,54225.97000000,53829.54000000,53895.90000000,1439.99298000,1633633199999
2021-10-07 22:00:00,1633633200000,53895.90000000,54161.82000000,53802.18000000,53962.76000000,1244.49099000,1633636799999
2021-10-07 23:00:00,1633636800000,53962.75000000,54324.87000000,53890.00000000,54167.17000000,1066.88373000,1633640399999
2021-10-08 00:00:00,1633640400000,54167.18000000,54500.00000000,54036.00000000,54275.62000000,1346.45466000,1633643999999
2021-10-08 01:00:00,1633644000000,54275.61000000,54640.30000000,53765.04000000,53899.39000000,1795.35129000,1633647599999
2021-10-08 02:00:00,1633647600000,53895.57000000,53964.80000000,53607.27000000,53785.22000000,889.18787000,1633651199999
2021-10-08 03:00:00,1633651200000,53785.22000000,54235.99000000,53711.57000000,54108.00000000,1319.71058000,1633654799999
2021-10-08 04:00:00,1633654800000,54108.01000000,54397.00000000,54051.10000000,54297.35000000,1107.57340000,1633658399999
2021-10-08 05:00:00,1633658400000,54297.35000000,54429.99000000,53776.50000000,53842.00000000,1547.30709000,1633661999999
2021-10-08 06:00:00,1633662000000,53842.01000000,53940.00000000,53691.02000000,53815.22000000,1401.24886000,1633665599999
2021-10-08 07:00:00,1633665600000,53815.21000000,53972.94000000,53766.28000000,53877.93000000,1097.26855000,1633669199999
2021-10-08 08:00:00,1633669200000,53877.92000000,54174.00000000,53617.61000000,54172.95000000,1644.31622000,1633672799999
2021-10-08 09:00:00,1633672800000,54172.94000000,54286.90000000,53999.99000000,54110.22000000,1579.99547000,1633676399999
2021-10-08 10:00:00,1633676400000,54110.23000000,54967.97000000,54000.00000000,54829.39000000,3718.09256000,1633679999999
2021-10-08 11:00:00,1633680000000,54829.38000000,56100.00000000,54753.66000000,55800.01000000,6855.22152000,1633683599999
2021-10-08 12:00:00,1633683600000,55800.00000000,56000.00000000,55105.00000000,55234.76000000,3003.36631000,1633687199999
2021-10-08 13:00:00,1633687200000,55234.76000000,55588.59000000,55182.16000000,55485.66000000,1569.66161000,1633690799999
2021-10-08 14:00:00,1633690800000,55485.67000000,55600.00000000,55138.18000000,55242.72000000,1832.22279000,1633694399999
