,open_time,o,h,l,c,v,close_time
2021-12-21 14:01:00,1640088060000,48853.18000000,48902.00000000,48845.70000000,48885.59000000,32.60998000,1640088119999
2021-12-21 14:02:00,1640088120000,48885.59000000,48890.99000000,48858.97000000,48861.72000000,18.91581000,1640088179999
2021-12-21 14:03:00,1640088180000,48860.59000000,48861.72000000,48801.17000000,48858.81000000,32.61890000,1640088239999
2021-12-21 14:04:00,1640088240000,48858.80000000,48858.97000000,48840.05000000,48850.12000000,14.61273000,1640088299999
2021-12-21 14:05:00,1640088300000,48850.11000000,48850.12000000,48818.09000000,48825.51000000,19.93381000,1640088359999
2021-12-21 14:06:00,1640088360000,48825.52000000,48864.52000000,48813.68000000,48864.52000000,24.82621000,1640088419999
2021-12-21 14:07:00,1640088420000,48864.51000000,48865.76000000,48814.30000000,48818.23000000,12.48773000,1640088479999
2021-12-21 14:08:00,1640088480000,48818.23000000,48847.40000000,48812.78000000,48839.95000000,19.79665000,1640088539999
2021-12-21 14:09:00,1640088540000,48840.94000000,48851.58000000,48839.81000000,48851.00000000,9.14402000,1640088599999
2021-12-21 14:10:00,1640088600000,48850.99000000,48851.00000000,48822.94000000,48844.99000000,22.70346000,1640088659999
2021-12-21 14:11:00,1640088660000,48844.98000000,48844.99000000,48821.71000000,48828.01000000,17.66297000,1640088719999
2021-12-21 14:12:00,1640088720000,48828.01000000,48844.98000000,48822.72000000,48836.09000000,11.63659000,1640088779999
2021-12-21 14:13:00,1640088780000,48836.08000000,48850.00000000,48821.05000000,48850.00000000,15.31289000,1640088839999
2021-12-21 14:14:00,1640088840000,48849.99000000,48900.00000000,48849.99000000,48897.31000000,12.15311000,1640088899999
2021-12-21 14:15:00,1640088900000,48897.32000000,48928.15000000,48860.88000000,48927.44000000,25.14249000,1640088959999
2021-12-21 14:16:00,1640088960000,48927.44000000,48962.01000000,48923.79000000,48930.48000000,49.22320000,1640089019999
2021-12-21 14:17:00,1640089020000,48930.49000000,48993.54000000,48920.00000000,48993.53000000,25.78032000,1640089079999
2021-12-21 14:18:00,1640089080000,48993.54000000,48999.00000000,48941.24000000,48977.11000000,29.39098000,1640089139999
2021-12-21 14:19:00,1640089140000,48977.11000000,48977.12000000,48960.00000000,48965.00000000,20.88593000,1640089199999
2021-12-21 14:20:00,1640089200000,48965.01000000,48988.06000000,48938.02000000,48988.02000000,34.29577000,1640089259999
2021-12-21 14:21:00,1640089260000,48988.03000000,49200.00000000,48971.73000000,49080.39000000,431.64083000,1640089319999
2021-12-21 14:22:00,1640089320000,49079.09000000,49130.47000000,49050.98000000,49100.68000000,95.96271000,1640089379999
2021-12-21 14:23:00,1640089380000,49100.68000000,49118.47000000,49037.24000000,49090.00000000,50.69923000,1640089439999
2021-12-21 14:24:00,1640089440000,49090.00000000,49091.79000000,49013.80000000,49015.00000000,42.18793000,1640089499999
2021-12-21 14:25:00,1640089500000,49015.00000000,49064.36000000,49006.69000000,49030.61000000,56.05622000,1640089559999
2021-12-21 14:26:00,1640089560000,49030.60000000,49076.20000000,49016.92000000,49069.27000000,42.98349000,1640089619999
2021-12-21 14:27:00,1640089620000,49069.27000000,49135.26000000,49062.81000000,49127.39000000,46.29746000,1640089679999
2021-12-21 14:28:00,1640089680000,49127.39000000,49167.13000000,49105.82000000,49125.17000000,42.80249000,1640089739999
2021-12-21 14:29:00,1640089740000,49125.17000000,49125.18000000,49072.83000000,49090.83000000,41.56437000,1640089799999
2021-12-21 14:30:00,1640089800000,49090.83000000,49278.00000000,49088.27000000,49237.67000000,127.11548000,1640089859999
2021-12-21 14:31:00,1640089860000,49237.67000000,49249.10000000,49181.95000000,49217.71000000,58.02395000,1640089919999
2021-12-21 14:32:00,1640089920000,49217.71000000,49263.09000000,49192.25000000,49237.10000000,56.28287000,1640089979999
2021-12-21 14:33:00,1640089980000,49234.46000000,49275.52000000,49224.71000000,49244.10000000,46.56519000,1640090039999
2021-12-21 14:34:00,1640090040000,49244.09000000,49277.99000000,49202.78000000,49273.60000000,54.45553000,1640090099999
2021-12-21 14:35:00,1640090100000,49273.60000000,49328.96000000,49271.01000000,49283.78000000,100.37577000,1640090159999
2021-12-21 14:36:00,1640090160000,49283.77000000,49304.22000000,49200.47000000,49208.29000000,93.19189000,1640090219999
2021-12-21 14:37:00,1640090220000,49208.29000000,49240.24000000,49208.29000000,49210.01000000,38.80667000,1640090279999
2021-12-21 14:38:00,1640090280000,49210.01000000,49219.72000000,49170.00000000,49213.17000000,37.09062000,1640090339999
2021-12-21 14:39:00,1640090340000,49213.16000000,49220.70000000,49136.55000000,49164.00000000,69.96493000,1640090399999
2021-12-21 14:40:00,1640090400000,49164.00000000,49165.99000000,49071.44000000,49110.47000000,38.36881000,1640090459999
2021-12-21 14:41:00,1640090460000,49110.48000000,49114.92000000,49030.00000000,49057.41000000,54.94409000,1640090519999
2021-12-21 14:42:00,1640090520000,49057.41000000,49078.00000000,49022.25000000,49026.64000000,27.39634000,1640090579999
2021-12-21 14:43:00,1640090580000,49026.64000000,49062.99000000,49016.13000000,49027.53000000,25.32347000,1640090639999
2021-12-21 14:44:00,1640090640000,49028.82000000,49119.15000000,49026.89000000,49082.20000000,32.20085000,1640090699999
2021-12-21 14:45:00,1640090700000,49082.19000000,49138.89000000,49082.19000000,49110.05000000,19.80315000,1640090759999
2021-12-21 14:46:00,1640090760000,49110.06000000,49110.10000000,48984.79000000,49008.42000000,77.98221000,1640090819999
2021-12-21 14:47:00,1640090820000,49008.42000000,49018.00000000,48901.00000000,48963.87000000,132.79169000,1640090879999
2021-12-21 14:48:00,1640090880000,48963.87000000,48968.00000000,48854.65000000,48885.27000000,77.65306000,1640090939999
2021-12-21 14:49:00,1640090940000,48885.28000000,48942.63000000,48854.66000000,48923.10000000,38.72065000,1640090999999
2021-12-21 14:50:00,1640091000000,48923.10000000,48943.05000000,48860.01000000,48927.04000000,35.47389000,1640091059999
2021-12-21 14:51:00,1640091060000,48927.04000000,48987.44000000,48913.50000000,48950.25000000,19.83425000,1640091119999
2021-12-21 14:52:00,1640091120000,48950.25000000,48957.01000000,48821.35000000,48877.65000000,91.45298000,1640091179999
2021-12-21 14:53:00,1640091180000,48877.66000000,48884.91000000,48809.97000000,48839.93000000,39.13260000,1640091239999
2021-12-21 14:54:00,1640091240000,48839.93000000,48867.47000000,48812.83000000,48834.71000000,63.84544000,1640091299999
2021-12-21 14:55:00,1640091300000,48830.00000000,48864.10000000,48830.00000000,48853.63000000,26.64779000,1640091359999
2021-12-21 14:56:00,1640091360000,48853.62000000,48894.99000000,48838.29000000,48877.63000000,33.74332000,1640091419999
2021-12-21 14:57:00,1640091420000,48877.62000000,48880.49000000,48641.35000000,48694.23000000,99.22871000,1640091479999
2021-12-21 14:58:00,1640091480000,48694.24000000,48795.10000000,48676.68000000,48755.42000000,72.22957000,1640091539999
2021-12-21 14:59:00,1640091540000,48755.42000000,48771.33000000,48700.00000000,48735.49000000,60.47904000,1640091599999
2021-12-21 15:00:00,1640091600000,48735.49000000,48805.28000000,48717.33000000,48778.12000000,57.89447000,1640091659999
